node_type,node_id,item
class_node,443,IfcCrewResourceType
value_node,533,DOUBLECHECK
attribute_node,556,RefDirection
attribute_node,662,ThresholdOffset
class_node,425,IfcSurfaceCurveSweptAreaSolid
type_node,197,IfcTransportElementTypeEnum
type_node,215,IfcConnectionTypeEnum
type_node,236,IfcBooleanOperand
value_node,1081,RADIAL
attribute_node,270,ParentContext
attribute_node,463,RelatingApproval
value_node,931,PLAIN
value_node,405,VOLUMEUNIT
attribute_node,440,PrimaryUnit
value_node,843,EXTERNAL_FIRE
attribute_node,73,BottomXDim
class_node,467,IfcTShapeProfileDef
attribute_node,160,Distance
class_node,641,IfcShadingDevice
value_node,111,CO2SENSOR
value_node,836,GASMETER
value_node,1118,WATERSUPPLY
value_node,970,CABLETRAYSEGMENT
class_node,446,IfcRelCoversBldgElements
class_node,311,IfcPropertyTableValue
class_node,465,IfcTendonAnchor
type_node,19,IfcElectricApplianceTypeEnum
type_node,195,IfcProductRepresentationSelect
value_node,375,EXTERNAL_WATER
value_node,1057,THERMAL
attribute_node,365,HasPropertyTemplates
attribute_node,191,MaterialLayers
attribute_node,92,EarlyDate
value_node,32,POLYGONAL
class_node,193,IfcShapeAspect
class_node,69,IfcRationalBSplineSurfaceWithKnots
type_node,138,ARRAYARRAY
attribute_node,373,TopFlangeFilletRadius
attribute_node,791,InnerReference
class_node,29,IfcFlowSegmentType
class_node,211,IfcTextureCoordinate
attribute_node,389,ClosedCurve
value_node,514,TIMEDELAY
class_node,132,IfcSchedulingTime
value_node,404,GABLE_ROOF
value_node,917,ELLIPTIC_ARC
attribute_node,203,Corner
value_node,734,WORKORDER
class_node,514,IfcResourceConstraintRelationship
type_node,406,IfcPropertySetDefinitionSet
attribute_node,507,SpreadAngle
value_node,180,VARIABLEFLOWPRESSUREDEPENDANT
class_node,699,IfcQuantityArea
value_node,830,ROTARYWHEEL
class_node,540,IfcTank
attribute_node,765,VisibleSegmentLength
class_node,186,IfcRelSpaceBoundary1stLevel
value_node,21,STANDARD
class_node,421,IfcSpaceHeaterType
value_node,697,RIVET
value_node,770,RAINWATER
attribute_node,855,FixedReference
value_node,272,SMOKEDAMPER
value_node,1148,ISOTHERMALMOISTURECAPACITYUNIT
type_node,178,IfcSlabTypeEnum
value_node,1058,LANDING
class_node,381,IfcClassification
class_node,418,IfcTimePeriod
value_node,630,OTHER_CONSTRUCTION
value_node,323,VOLTAGE
attribute_node,371,TextAlign
type_node,44,IfcSanitaryTerminalTypeEnum
value_node,121,FURNITUREINVENTORY
value_node,826,SOUNDSENSOR
class_node,98,IfcColourRgb
attribute_node,424,Enumerators
value_node,283,OBSTRUCTION
type_node,369,IfcWorkScheduleTypeEnum
attribute_node,689,Red
value_node,657,INCLUDEDIN
attribute_node,813,ApplicableEntity
type_node,48,IfcDuctFittingTypeEnum
class_node,100,IfcCartesianTransformationOperator2D
attribute_node,189,EditionDate
class_node,305,IfcBooleanClippingResult
value_node,255,FUEL
attribute_node,684,TextStyle
value_node,698,SPIRAL_RAMP
class_node,498,IfcSurfaceFeature
value_node,276,FEMTO
class_node,142,IfcTypeProduct
attribute_node,542,FontFamily
value_node,369,PREDICTED
class_node,659,IfcSanitaryTerminal
class_node,84,IfcTableColumn
attribute_node,141,ShapeAspectStyle
attribute_node,193,DependantProperty
class_node,533,IfcOffsetCurve2D
value_node,93,SPRINKLER
value_node,589,ROTATIONALMASSUNIT
value_node,399,LOGICALNOTOR
value_node,592,SURF_OF_LINEAR_EXTRUSION
type_node,134,IfcRecurrenceTypeEnum
attribute_node,324,Textures
class_node,447,IfcStructuralActivity
class_node,457,IfcColumnType
class_node,32,IfcTextStyle
type_node,93,IfcStructuralCurveMemberTypeEnum
value_node,1061,GENERAL
class_node,44,IfcMaterialConstituentSet
attribute_node,702,Vsense
class_node,163,IfcExtrudedAreaSolid
value_node,650,LEFT
attribute_node,212,UClosed
attribute_node,633,UserDefinedSequenceType
attribute_node,70,RelatedCoverings
attribute_node,734,KnotMultiplicities
