,IfcAirTerminal,IfcBeam,IfcCableCarrierFitting,IfcCableCarrierSegment,IfcDoor,IfcDuctFitting,IfcDuctSegment,IfcFurniture,IfcLamp,IfcOutlet,IfcPipeFitting,IfcPipeSegment,IfcPlate,IfcRailing,IfcSanitaryTerminal,IfcSlab,IfcSpaceHeater,IfcStair,IfcValve,IfcWall
IfcAirTerminal,133,0,1,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1
IfcBeam,0,66,0,0,0,0,0,1,0,0,0,0,2,0,0,8,0,0,0,7
IfcCableCarrierFitting,0,0,152,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
IfcCableCarrierSegment,0,0,0,154,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
IfcDoor,0,0,0,0,91,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
IfcDuctFitting,1,0,2,0,0,185,1,0,0,0,5,0,0,0,1,0,0,0,0,0
IfcDuctSegment,0,0,0,17,0,0,136,0,0,0,0,6,0,0,0,0,0,0,0,0
IfcFurniture,1,0,0,0,1,3,1,52,0,0,0,0,0,0,9,0,0,0,0,0
IfcLamp,2,0,0,4,2,0,0,0,15,0,0,1,0,0,1,0,0,0,2,0
IfcOutlet,0,0,0,0,0,2,0,0,2,14,0,0,0,0,0,0,0,0,0,0
IfcPipeFitting,0,0,1,0,0,0,0,0,0,0,186,3,0,0,1,0,0,0,3,0
IfcPipeSegment,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0
IfcPlate,0,1,0,0,0,0,0,0,0,0,0,0,144,0,0,9,1,0,0,2
IfcRailing,0,0,0,0,3,0,0,0,0,0,0,1,0,120,1,1,0,1,0,0
IfcSanitaryTerminal,2,1,1,1,3,1,0,6,2,0,1,2,0,0,115,0,0,0,1,0
IfcSlab,0,0,0,2,0,0,3,0,0,0,0,0,6,0,0,139,1,0,0,1
IfcSpaceHeater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0
IfcStair,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
IfcValve,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,100,0
IfcWall,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,159
