,IfcAirTerminal,IfcBeam,IfcCableCarrierFitting,IfcCableCarrierSegment,IfcDoor,IfcDuctFitting,IfcDuctSegment,IfcFurniture,IfcLamp,IfcOutlet,IfcPipeFitting,IfcPipeSegment,IfcPlate,IfcRailing,IfcSanitaryTerminal,IfcSlab,IfcSpaceHeater,IfcStair,IfcValve,IfcWall
IfcAirTerminal,133,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,4
IfcBeam,0,65,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,5
IfcCableCarrierFitting,0,0,153,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
IfcCableCarrierSegment,0,0,0,154,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
IfcDoor,0,0,0,0,86,0,0,3,0,1,0,0,0,2,1,0,0,0,0,0
IfcDuctFitting,1,0,0,0,0,187,0,0,0,0,5,0,0,0,1,1,0,0,0,0
IfcDuctSegment,0,0,0,11,0,0,137,0,0,0,0,11,0,0,0,0,0,0,0,0
IfcFurniture,0,0,0,0,3,2,0,54,0,0,0,0,0,0,7,0,1,0,0,0
IfcLamp,2,0,0,1,0,0,3,0,18,0,2,1,0,0,0,0,0,0,0,0
IfcOutlet,0,0,0,0,0,2,0,0,1,15,0,0,0,0,0,0,0,0,0,0
IfcPipeFitting,0,0,1,0,0,0,0,0,0,0,189,1,0,0,1,0,0,0,2,0
IfcPipeSegment,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0
IfcPlate,0,1,0,0,0,0,0,0,0,0,0,0,146,0,0,8,1,0,0,1
IfcRailing,0,0,1,1,0,2,0,0,0,0,0,0,1,118,2,0,0,0,0,2
IfcSanitaryTerminal,3,0,1,1,2,1,0,7,2,3,0,2,0,0,113,0,0,0,1,0
IfcSlab,0,0,0,2,0,0,3,0,0,0,0,0,6,0,0,139,1,0,0,1
IfcSpaceHeater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0
IfcStair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
IfcValve,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,101,0
IfcWall,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,157
