,IfcAirTerminal,IfcBeam,IfcCableCarrierFitting,IfcCableCarrierSegment,IfcDoor,IfcDuctFitting,IfcDuctSegment,IfcFurniture,IfcLamp,IfcOutlet,IfcPipeFitting,IfcPipeSegment,IfcPlate,IfcRailing,IfcSanitaryTerminal,IfcSlab,IfcSpaceHeater,IfcStair,IfcValve,IfcWall
IfcAirTerminal,127,0,0,0,0,2,1,1,0,0,0,0,1,1,5,0,0,0,0,4
IfcBeam,0,58,0,5,0,1,5,1,0,0,0,2,2,0,1,4,0,0,0,5
IfcCableCarrierFitting,0,0,148,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,0,1
IfcCableCarrierSegment,0,1,2,133,0,0,10,0,0,0,0,6,1,0,1,4,0,0,0,1
IfcDoor,0,0,0,0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
IfcDuctFitting,2,1,2,0,0,168,3,2,1,0,7,0,0,1,0,1,0,0,0,7
IfcDuctSegment,3,0,2,4,0,1,129,0,0,0,0,15,2,0,0,1,1,0,0,1
IfcFurniture,4,0,1,0,0,3,5,48,1,0,0,0,0,0,5,0,0,0,0,0
IfcLamp,2,0,0,1,0,0,3,0,18,0,2,1,0,0,0,0,0,0,0,0
IfcOutlet,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3
IfcPipeFitting,0,0,3,0,0,0,2,0,0,0,180,3,0,0,2,0,0,0,4,0
IfcPipeSegment,0,0,0,2,0,0,10,0,0,0,0,183,0,0,0,0,0,0,0,0
IfcPlate,0,5,0,0,0,0,0,0,0,0,0,0,129,0,0,12,0,0,0,11
IfcRailing,0,0,1,2,0,2,0,0,0,1,0,0,1,111,3,0,1,0,0,5
IfcSanitaryTerminal,2,1,0,2,2,1,4,4,0,1,2,2,0,0,115,0,0,0,0,0
IfcSlab,0,0,3,2,0,0,4,0,0,0,0,0,9,0,0,130,3,0,0,1
IfcSpaceHeater,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,10,20,0,0,4
IfcStair,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
IfcValve,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,97,0
IfcWall,0,0,1,0,0,0,1,0,0,0,0,0,5,2,0,0,3,0,0,149
