,IfcAirTerminal,IfcBeam,IfcCableCarrierFitting,IfcCableCarrierSegment,IfcDoor,IfcDuctFitting,IfcDuctSegment,IfcFurniture,IfcLamp,IfcOutlet,IfcPipeFitting,IfcPipeSegment,IfcPlate,IfcRailing,IfcSanitaryTerminal,IfcSlab,IfcSpaceHeater,IfcStair,IfcValve,IfcWall
IfcAirTerminal,126,0,1,0,1,0,0,3,1,0,1,0,0,0,3,0,1,0,5,0
IfcBeam,0,66,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,4
IfcCableCarrierFitting,0,0,152,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
IfcCableCarrierSegment,0,0,0,156,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
IfcDoor,0,0,0,0,85,0,0,3,0,1,0,0,0,2,1,0,0,0,1,0
IfcDuctFitting,1,0,2,0,1,184,1,0,0,0,5,0,0,0,1,0,0,0,0,0
IfcDuctSegment,0,0,0,41,0,0,117,0,0,0,0,1,0,0,0,0,0,0,0,0
IfcFurniture,1,0,0,0,3,2,0,49,0,0,1,0,0,0,10,0,1,0,0,0
IfcLamp,2,0,0,4,2,0,0,0,15,0,0,0,0,0,2,0,0,0,2,0
IfcOutlet,0,0,0,0,0,2,0,0,2,14,0,0,0,0,0,0,0,0,0,0
IfcPipeFitting,0,0,1,0,0,0,0,1,0,0,174,1,0,0,6,0,0,0,11,0
IfcPipeSegment,1,0,0,7,0,0,2,0,0,0,0,185,0,0,0,0,0,0,0,0
IfcPlate,0,1,0,0,0,0,0,0,0,0,0,0,145,0,0,9,1,0,0,1
IfcRailing,0,0,0,4,3,0,0,0,0,0,0,1,0,116,1,1,0,1,0,0
IfcSanitaryTerminal,3,0,1,1,3,1,0,10,2,3,0,0,0,0,105,0,2,0,5,0
IfcSlab,0,1,0,13,0,0,0,0,0,0,0,1,2,2,0,128,1,0,0,4
IfcSpaceHeater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0
IfcStair,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0
IfcValve,1,0,0,0,0,1,0,0,0,1,3,0,0,0,2,0,0,0,96,0
IfcWall,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,154
